T(K),a,da/dT
751.4,0.73991420,0.00094589
752.4,0.74098300,0.00093977
753.4,0.74204218,0.00093090
754.15,0.74285715,0.00091790
754.9,0.74362542,0.00090636
755.9,0.74458655,0.00089640
756.65,0.74537341,0.00088318
757.4,0.74603448,0.00087344
758.15,0.74670114,0.00086453
759.4,0.74771646,0.00085766
759.9,0.74817307,0.00084747
760.65,0.74871318,0.00084055
761.9,0.74957982,0.00083794
762.65,0.75010356,0.00083506
763.4,0.75053447,0.00083449
764.4,0.75118702,0.00083673
765.15,0.75163645,0.00083720
765.9,0.75209481,0.00083975
766.65,0.75255348,0.00084573
767.65,0.75319930,0.00085003
768.4,0.75367674,0.00085776
769.15,0.75421613,0.00086289
770.4,0.75510891,0.00087525
770.9,0.75553042,0.00088562
771.65,0.75611341,0.00090141
772.9,0.75718421,0.00091401
773.65,0.75793050,0.00093312
774.15,0.75842612,0.00095588
775.4,0.75973075,0.00097842
776.15,0.76058314,0.00100628
776.9,0.76139507,0.00103260
778.15,0.76281146,0.00106082
778.65,0.76344135,0.00108955
779.4,0.76430321,0.00111794
780.15,0.76519224,0.00114478
781.4,0.76668959,0.00116968
781.9,0.76730953,0.00119351
782.65,0.76820164,0.00121439
783.9,0.76978959,0.00123046
784.65,0.77074855,0.00124892
785.4,0.77170420,0.00126032
786.4,0.77305771,0.00126397
787.15,0.77407158,0.00126469
787.9,0.77510850,0.00126319
789.15,0.77687827,0.00125287
789.65,0.77758710,0.00124417
790.4,0.77867029,0.00123254
791.15,0.77974640,0.00121271
792.4,0.78152669,0.00119298
792.9,0.78220607,0.00117119
793.9,0.78361632,0.00114890
794.9,0.78493593,0.00112185
795.65,0.78591776,0.00109388
796.4,0.78690220,0.00106342
798.4,0.78927721,0.00103075
798.9,0.78982760,0.00099768
799.9,0.79083980,0.00096153
800.9,0.79183986,0.00092589
801.4,0.79225858,0.00088956
802.65,0.79329612,0.00085196
803.4,0.79389319,0.00081546
804.15,0.79440672,0.00077759
805.15,0.79498363,0.00074092
805.9,0.79539867,0.00070599
806.65,0.79581223,0.00067255
807.4,0.79615382,0.00063846
808.4,0.79653228,0.00060802
809.4,0.79691937,0.00057832
810.15,0.79716773,0.00055072
811.15,0.79748292,0.00052753
811.9,0.79771177,0.00050828
812.65,0.79795038,0.00049320
813.65,0.79827943,0.00047964
814.4,0.79852336,0.00047512
815.15,0.79879275,0.00046678
816.15,0.79913875,0.00046328
817.15,0.79951035,0.00046626
817.65,0.79971592,0.00047223
818.9,0.80020210,0.00048166
819.65,0.80051831,0.00049157
820.15,0.80073673,0.00050641
821.4,0.80129663,0.00052813
822.15,0.80168083,0.00054944
822.9,0.80206712,0.00057529
823.65,0.80247383,0.00060393
824.65,0.80304872,0.00063301
825.4,0.80350394,0.00066361
826.15,0.80403370,0.00069397
826.9,0.80447474,0.00072499
827.9,0.80516941,0.00075452
828.65,0.80574767,0.00078401
829.65,0.80649789,0.00081285
830.4,0.80711789,0.00083903
831.15,0.80774717,0.00086469
832.15,0.80863293,0.00088784
832.9,0.80938911,0.00090940
833.65,0.81014306,0.00092841
834.65,0.81122367,0.00094485
835.4,0.81208300,0.00096255
836.15,0.81294441,0.00097554
837.4,0.81445133,0.00098756
837.9,0.81505602,0.00099882
838.65,0.81597464,0.00100396
839.9,0.81749415,0.00101382
840.65,0.81839502,0.00101987
841.15,0.81899907,0.00102204
841.9,0.81987674,0.00102448
843.15,0.82129315,0.00102424
843.9,0.82211280,0.00102265
844.65,0.82290932,0.00101897
845.65,0.82390870,0.00101056
846.65,0.82489776,0.00100179
847.15,0.82541188,0.00098992
848.4,0.82656082,0.00097547
848.9,0.82702251,0.00096036
849.9,0.82795593,0.00094321
850.65,0.82859764,0.00092565
851.65,0.82947136,0.00090727
852.4,0.83012416,0.00088885
853.4,0.83095782,0.00087052
854.15,0.83157375,0.00085183
854.65,0.83198356,0.00083352
855.65,0.83277658,0.00081600
856.65,0.83355538,0.00079956
857.4,0.83412875,0.00078404
858.4,0.83487952,0.00077133
859.15,0.83543187,0.00075797
859.9,0.83597701,0.00074467
861.15,0.83686471,0.00073433
861.65,0.83721883,0.00072561
862.4,0.83774388,0.00071633
863.4,0.83843592,0.00071026
864.15,0.83894696,0.00070431
864.9,0.83944912,0.00069868
865.4,0.83978209,0.00069479
866.65,0.84058135,0.00069154
867.4,0.84105017,0.00068834
868.15,0.84151217,0.00068591
869.15,0.84212402,0.00068417
869.9,0.84259718,0.00068186
870.65,0.84304839,0.00067973
871.65,0.84369087,0.00067754
872.4,0.84415532,0.00067538
873.15,0.84465832,0.00067258
874.15,0.84532247,0.00066866
874.9,0.84583215,0.00066542
875.65,0.84635807,0.00066151
876.9,0.84724186,0.00065753
877.65,0.84778266,0.00065354
878.4,0.84832779,0.00064906
879.65,0.84923642,0.00064540
880.15,0.84959764,0.00064117
880.9,0.85014400,0.00063670
881.9,0.85084144,0.00063287
882.9,0.85153050,0.00062760
883.4,0.85186696,0.00062361
884.65,0.85269727,0.00061810
885.4,0.85316888,0.00061424
886.15,0.85361487,0.00060882
887.15,0.85422104,0.00060339
887.9,0.85465495,0.00059817
888.9,0.85522094,0.00059284
889.65,0.85563644,0.00058636
890.65,0.85617234,0.00058004
891.4,0.85657235,0.00057392
892.4,0.85707482,0.00056719
893.15,0.85743960,0.00056117
893.65,0.85768999,0.00055524
894.9,0.85828753,0.00055074
895.65,0.85865182,0.00054691
896.4,0.85901392,0.00054440
897.4,0.85952129,0.00054311
898.15,0.85990638,0.00054402
898.9,0.86028647,0.00055055
899.65,0.86068245,0.00055414
900.65,0.86122929,0.00056104
901.4,0.86161850,0.00057187
902.15,0.86202184,0.00058259
903.15,0.86257131,0.00059406
904.15,0.86310308,0.00060776
904.65,0.86337697,0.00062224
905.9,0.86407271,0.00063731
906.4,0.86435614,0.00065299
907.4,0.86493417,0.00066847
908.4,0.86553436,0.00068384
909.15,0.86600439,0.00069973
910.9,0.86715107,0.00071441
911.4,0.86754303,0.00072888
912.15,0.86807591,0.00074369
913.4,0.86904909,0.00075762
914.15,0.86970906,0.00077143
914.65,0.87014154,0.00078594
915.65,0.87101019,0.00079887
916.4,0.87170814,0.00081229
917.4,0.87263042,0.00082441
918.4,0.87355383,0.00083564
918.9,0.87403156,0.00084634
919.65,0.87472682,0.00085376
920.65,0.87565819,0.00086141
921.4,0.87636591,0.00086809
922.15,0.87706567,0.00087216
923.15,0.87799883,0.00087430
923.9,0.87870109,0.00087014
924.65,0.87939994,0.00086914
925.9,0.88058434,0.00086390
926.65,0.88128912,0.00085411
927.15,0.88174546,0.00084381
928.15,0.88268404,0.00083224
929.15,0.88356753,0.00081836
929.65,0.88400425,0.00080383
930.65,0.88487108,0.00078888
931.4,0.88545761,0.00077198
932.15,0.88605747,0.00075361
933.15,0.88685126,0.00073603
933.9,0.88740980,0.00071822
934.65,0.88794790,0.00069675
935.65,0.88861117,0.00067625
936.4,0.88912239,0.00065676
937.15,0.88959224,0.00063518
938.15,0.89018815,0.00061339
938.9,0.89061302,0.00059155
939.65,0.89101283,0.00057025
940.65,0.89154092,0.00054778
941.15,0.89179136,0.00052624
941.9,0.89215880,0.00050555
943.15,0.89274026,0.00048457
943.65,0.89293744,0.00046502
944.4,0.89325358,0.00044507
945.65,0.89378752,0.00042533
946.15,0.89394268,0.00040742
946.9,0.89419674,0.00039106
947.9,0.89456797,0.00037652
948.65,0.89479746,0.00036153
949.15,0.89495519,0.00034848
950.4,0.89533814,0.00033593
950.9,0.89548565,0.00032460
951.9,0.89577272,0.00031420
952.9,0.89603140,0.00030320
953.4,0.89616807,0.00029277
954.15,0.89636205,0.00028226
955.15,0.89657691,0.00027242
955.9,0.89674284,0.00026496
956.65,0.89690885,0.00025665
957.4,0.89707802,0.00024847
958.4,0.89732088,0.00024450
959.15,0.89750210,0.00024000
959.9,0.89768725,0.00023486
960.9,0.89793532,0.00023265
961.4,0.89805129,0.00023097
962.65,0.89834885,0.00023047
963.15,0.89846460,0.00023102
963.9,0.89862134,0.00023187
965.15,0.89886924,0.00023670
965.9,0.89900827,0.00024235
966.65,0.89914295,0.00024724
967.4,0.89927658,0.00025640
968.15,0.89941202,0.00026822
969.4,0.89964949,0.00027956
969.9,0.89974703,0.00029189
970.65,0.89990317,0.00030719
971.4,0.90006991,0.00032113
972.4,0.90031174,0.00033827
973.4,0.90057857,0.00035486
974.15,0.90079730,0.00037481
974.9,0.90103052,0.00039629
975.65,0.90126428,0.00041941
976.65,0.90166305,0.00044519
977.15,0.90188172,0.00047115
978.15,0.90228200,0.00049873
979.15,0.90276256,0.00052665
979.65,0.90304464,0.00055429
980.4,0.90345718,0.00058198
981.65,0.90418611,0.00060905
982.15,0.90452938,0.00063545
982.9,0.90501379,0.00066077
984.15,0.90594385,0.00068497
984.65,0.90630843,0.00070874
985.4,0.90691620,0.00073015
986.4,0.90777732,0.00075042
986.9,0.90822826,0.00076994
987.65,0.90894570,0.00078779
